seq,actor,ani,no,file,x,y,w,h
410,6,28,11,erana_kick2_11.png,-1.144929051,0.007042253,69,142
411,6,28,12,erana_kick2_12.png,-1.179105997,0,67,143
412,6,28,13,erana_kick2_13.png,-1.179105997,0,67,143
413,6,28,14,erana_kick2_14.png,-1.179105997,0,67,143
414,6,29,0,erana_kick3_00.png,0.285712689,0,56,143
415,6,29,1,erana_kick3_01.png,0.262293607,0,61,126
416,6,29,2,erana_kick3_02.png,-0.186442196,-0.115646303,59,147
417,6,29,3,erana_kick3_03.png,-0.3972615,-0.242857099,73,140
418,6,29,4,erana_kick3_04.png,-0.192857802,-0.102739699,140,146
419,6,29,5,erana_kick3_05.png,-1.517243028,-0.06666667,58,150
420,6,29,6,erana_kick3_06.png,-0.696079314,-0.006711409,102,149
421,6,29,7,erana_kick3_07.png,-0.812500775,0.007462686,112,134
422,6,29,8,erana_kick3_08.png,-1.108435035,0.008196721,83,122
423,6,29,9,erana_kick3_09.png,-1.108435035,0.008196721,83,122
424,6,29,10,erana_kick3_10.png,-1.096387029,0.008196721,83,122
425,6,29,11,erana_kick3_11.png,-1.108435035,0.008196721,83,122
426,6,29,12,erana_kick3_12.png,-1.135804057,0.007751938,81,129
427,6,29,13,erana_kick3_13.png,-1.137501001,0.007352941,80,136
428,6,29,14,erana_kick3_14.png,-1.324326038,0,74,140
429,6,29,15,erana_kick3_15.png,-1.552240014,0,67,141
430,6,29,16,erana_kick3_16.png,-1.590909958,0,66,142
431,6,29,17,erana_kick3_17.png,-1.567165017,0,67,143
432,6,30,0,erana_run_00.png,0.465752214,0.006849315,73,146
433,6,30,1,erana_run_01.png,0.298243999,0,57,143
434,6,30,2,erana_run_02.png,0.333332092,-0.020979021,72,143
435,6,30,3,erana_run_03.png,0.269229591,-0.006756757,78,148
436,6,30,4,erana_run_04.png,0.085712977,0.01369863,70,146
437,6,30,5,erana_run_05.png,-0.046876431,0.020979021,64,143
438,6,30,6,erana_run_06.png,0.312498897,0,80,141
439,6,30,7,erana_run_07.png,0.458822489,-0.006756757,85,148
440,6,30,8,erana_run_08.png,0.465752214,0.006849315,73,146
441,6,31,0,erana_walk_00.png,0.259257615,0.007042253,54,142
442,6,31,1,erana_walk_01.png,0.310343206,0.007042253,58,142
443,6,31,2,erana_walk_02.png,0.409089506,-0.007194245,66,139
444,6,31,3,erana_walk_03.png,0.471427292,0.007142857,70,140
445,6,31,4,erana_walk_04.png,0.485292792,0.0141844,68,141
446,6,31,5,erana_walk_05.png,0.406778097,0.0141844,59,141
447,6,31,6,erana_walk_06.png,0.345452905,0.01408451,55,142
448,6,31,7,erana_walk_07.png,0.409089506,0.007042253,66,142
449,6,31,8,erana_walk_08.png,0.4285703,-0.007142857,84,140
450,6,31,9,erana_walk_09.png,0.499998897,0,86,140
451,6,31,10,erana_walk_10.png,0.494116604,0.007092198,85,141
452,6,31,11,erana_walk_11.png,0.430554301,0.007092198,72,141
453,6,31,12,erana_walk_12.png,0.259257615,0.007042253,54,142
454,7,32,0,wizard_kick1_00.png,0.453123599,-0.01282051,64,156
455,7,32,1,wizard_kick1_01.png,-0.204547495,-0.01265823,44,158
456,7,32,2,wizard_kick1_02.png,-0.366668195,-0.006756757,60,148
457,7,32,3,wizard_kick1_03.png,-0.685715616,-0.006849315,70,146
458,7,32,4,wizard_kick1_04.png,-0.790124595,-0.07692308,81,169
459,7,32,5,wizard_kick1_05.png,-0.535714924,-0.107784398,140,167
460,7,32,6,wizard_kick1_06.png,-1.809525013,-0.082802549,63,157
461,7,32,7,wizard_kick1_07.png,-1.756757975,-0.01315789,74,152
462,7,32,8,wizard_kick1_08.png,-1.597561955,-0.0137931,82,145
463,7,32,9,wizard_kick1_09.png,-2.206351042,-0.01333333,63,150
464,7,32,10,wizard_kick1_10.png,-2.979593992,-0.006578947,49,152
465,7,32,11,wizard_kick1_11.png,-2.854168892,-0.01333333,48,150
466,7,32,12,wizard_kick1_12.png,-2.218183994,-0.01333333,55,150
467,7,32,13,wizard_kick1_13.png,-2.087721109,-0.01298701,57,154
468,7,32,14,wizard_kick1_14.png,-1.86153996,-0.01273885,65,157
469,7,32,15,wizard_kick1_15.png,-1.906250954,-0.006329114,64,158
470,7,32,16,wizard_kick1_16.png,-1.906250954,-0.006329114,64,158
471,7,32,17,wizard_kick1_17.png,-1.906250954,-0.01282051,64,156
472,7,33,0,wizard_kick2_00.png,0.312498093,-0.006410256,48,156
473,7,33,1,wizard_kick2_01.png,0.181816801,-0.022222221,66,135
474,7,33,2,wizard_kick2_02.png,-0.205883697,-0.01282051,68,156
475,7,33,3,wizard_kick2_03.png,-1.032788038,-0.149350598,61,154
476,7,33,4,wizard_kick2_04.png,-0.4841277,-0.116129003,126,155
477,7,33,5,wizard_kick2_05.png,-0.626263618,-0.01351351,99,148
478,7,33,6,wizard_kick2_06.png,-0.734043479,-0.01369863,94,146
479,7,33,7,wizard_kick2_07.png,-0.687501013,-0.01257862,96,159
480,7,33,8,wizard_kick2_08.png,-1.121623039,-0.01219512,74,164
481,7,33,9,wizard_kick2_09.png,-1.275364041,-0.01290323,69,155
482,7,33,10,wizard_kick2_10.png,-1.264706969,-0.006535948,68,153
483,7,33,11,wizard_kick2_11.png,-1.323078036,-0.01290323,65,155
484,7,33,12,wizard_kick2_12.png,-1.307693958,-0.01273885,65,157
485,7,33,13,wizard_kick2_13.png,-1.307693958,-0.01282051,65,156
486,7,33,14,wizard_kick2_14.png,-1.307693958,-0.01273885,65,157
487,7,34,0,wizard_kick3_00.png,0.339998186,-0.01282051,50,156
488,7,34,1,wizard_kick3_01.png,0.303569794,-0.01459854,56,137
489,7,34,2,wizard_kick3_02.png,-0.260001808,-0.131249994,50,160
490,7,34,3,wizard_kick3_03.png,-0.545455873,-0.263157904,66,152
491,7,34,4,wizard_kick3_04.png,-0.258993506,-0.1165644,139,163
492,7,34,5,wizard_kick3_05.png,-1.573771954,-0.084337354,61,166
493,7,34,6,wizard_kick3_06.png,-0.808081686,-0.02424242,99,165
494,7,34,7,wizard_kick3_07.png,-0.953271925,-0.006756757,107,148
495,7,34,8,wizard_kick3_08.png,-1.307693005,-0.007518797,78,133
496,7,34,9,wizard_kick3_09.png,-1.307693005,-0.007692308,78,130
497,7,34,10,wizard_kick3_10.png,-1.27848196,-0.007692308,79,130
498,7,34,11,wizard_kick3_11.png,-1.307693005,-0.007575758,78,132
499,7,34,12,wizard_kick3_12.png,-1.324676991,-0.007142857,77,140
500,7,34,13,wizard_kick3_13.png,-1.360000968,-0.006711409,75,149
501,7,34,14,wizard_kick3_14.png,-1.565219045,-0.0130719,69,153
502,7,34,15,wizard_kick3_15.png,-1.723078012,-0.01298701,65,154
503,7,34,16,wizard_kick3_16.png,-1.765625954,-0.01282051,64,156
504,7,34,17,wizard_kick3_17.png,-1.765625954,-0.01282051,64,156
505,7,35,0,wizard_run_00.png,0.515623629,-0.00621118,64,161
506,7,35,1,wizard_run_01.png,0.319998205,-0.01282051,50,156
507,7,35,2,wizard_run_02.png,0.348483503,-0.038709681,66,155
508,7,35,3,wizard_run_03.png,0.287669986,-0.018518521,73,162
509,7,35,4,wizard_run_04.png,0.078123569,0,64,160
510,7,35,5,wizard_run_05.png,-0.06779816,0.006410256,59,156
511,7,35,6,wizard_run_06.png,0.324323088,-0.01298701,74,154
512,7,35,7,wizard_run_07.png,0.457830191,-0.018518521,83,162
513,7,35,8,wizard_run_08.png,0.515623629,-0.00621118,64,161
514,7,36,0,wizard_walk_00.png,0.307690591,-0.006451613,52,155
515,7,36,1,wizard_walk_01.png,0.339620888,-0.006410256,53,156
516,7,36,2,wizard_walk_02.png,0.433331788,-0.01960784,60,153
517,7,36,3,wizard_walk_03.png,0.492306292,-0.006493506,65,154
518,7,36,4,wizard_walk_04.png,0.507934988,0,63,154
519,7,36,5,wizard_walk_05.png,0.433960497,0,53,155
520,7,36,6,wizard_walk_06.png,0.372547209,0,51,156
521,7,36,7,wizard_walk_07.png,0.444442987,-0.006410256,63,156
522,7,36,8,wizard_walk_08.png,0.43373391,-0.01298701,83,154
523,7,36,9,wizard_walk_09.png,0.50602299,-0.01298701,83,154
524,7,36,10,wizard_walk_10.png,0.51281929,-0.006493506,78,154
525,7,36,11,wizard_walk_11.png,0.439392596,-0.006493506,66,154
526,7,36,12,wizard_walk_12.png,0.307690591,-0.006451613,52,155
527,8,37,0,crow_kick1_00.png,0.459458202,0,74,146
528,8,37,1,crow_kick1_01.png,-0.100001797,-0.006896552,50,145
529,8,37,2,crow_kick1_02.png,-0.384616792,-0.007407407,65,135
530,8,37,3,crow_kick1_03.png,-0.671053827,0,76,133
531,8,37,4,crow_kick1_04.png,-1.23287797,-0.084967323,73,153
532,8,37,5,crow_kick1_05.png,-0.659722924,-0.125,144,152
533,8,37,6,crow_kick1_06.png,-2.030771017,-0.092857137,65,140
534,8,37,7,crow_kick1_07.png,-2.013514996,-0.00729927,74,137
535,8,37,8,crow_kick1_08.png,-1.974027038,0,77,136
536,8,37,9,crow_kick1_09.png,-2.5901649,0,61,139
537,8,37,10,crow_kick1_10.png,-2.785716057,0,56,141
538,8,37,11,crow_kick1_11.png,-2.960786104,0,51,139
539,8,37,12,crow_kick1_12.png,-2.428572893,-0.00729927,56,137
540,8,37,13,crow_kick1_13.png,-2.288136959,0,59,144
541,8,37,14,crow_kick1_14.png,-1.888890028,0,72,147
542,8,37,15,crow_kick1_15.png,-1.863015056,0.006756757,73,148
543,8,37,16,crow_kick1_16.png,-1.824326038,0.006756757,74,148
544,8,37,17,crow_kick1_17.png,-1.824326038,0,74,146
545,8,38,0,crow_kick2_00.png,0.428569794,0,56,145
546,8,38,1,crow_kick2_01.png,0.212119803,-0.008196721,66,122
547,8,38,2,crow_kick2_02.png,-0.168832406,-0.006896552,77,145
548,8,38,3,crow_kick2_03.png,-0.766234875,-0.166666701,77,144
549,8,38,4,crow_kick2_04.png,-0.59542048,-0.134751797,131,141
550,8,38,5,crow_kick2_05.png,-0.801981091,0,101,135
551,8,38,6,crow_kick2_06.png,-0.778846979,0,104,139
552,8,38,7,crow_kick2_07.png,-0.811882079,-0.006802721,101,147
553,8,38,8,crow_kick2_08.png,-1.422536016,-0.006622517,71,151
554,8,38,9,crow_kick2_09.png,-1.297299027,0,74,145
555,8,38,10,crow_kick2_10.png,-1.283784986,0.006993007,74,143
556,8,38,11,crow_kick2_11.png,-1.283784986,0,74,144
557,8,38,12,crow_kick2_12.png,-1.283784986,0,74,146
558,8,38,13,crow_kick2_13.png,-1.301370978,0,73,146
559,8,38,14,crow_kick2_14.png,-1.301370978,0,73,146
560,8,39,0,crow_kick3_00.png,0.428569794,0,56,146
561,8,39,1,crow_kick3_01.png,0.349998504,0,60,127
562,8,39,2,crow_kick3_02.png,-0.169493094,-0.147651002,59,149
563,8,39,3,crow_kick3_03.png,-0.58823657,-0.314285696,68,140
564,8,39,4,crow_kick3_04.png,-0.368056208,-0.135135099,144,148
565,8,39,5,crow_kick3_05.png,-1.965518951,-0.093333326,58,150
566,8,39,6,crow_kick3_06.png,-0.792793572,-0.020134229,111,149
567,8,39,7,crow_kick3_07.png,-1.018182993,0.007462686,110,134
568,8,39,8,crow_kick3_08.png,-1.255556941,0.008196721,90,122
569,8,39,9,crow_kick3_09.png,-1.255556941,0.008130081,90,123
570,8,39,10,crow_kick3_10.png,-1.244444966,0.008130081,90,123
571,8,39,11,crow_kick3_11.png,-1.269664049,0.008196721,89,122
572,8,39,12,crow_kick3_12.png,-1.258427978,0.007692308,89,130
573,8,39,13,crow_kick3_13.png,-1.313954949,0.007194245,86,139
574,8,39,14,crow_kick3_14.png,-1.487501025,0,80,143
575,8,39,15,crow_kick3_15.png,-1.68919003,0,74,144
576,8,39,16,crow_kick3_16.png,-1.726029038,0,73,145
577,8,39,17,crow_kick3_17.png,-1.68919003,0,74,146
578,8,40,0,crow_run_00.png,0.542855918,0.006711409,70,149
579,8,40,1,crow_run_01.png,0.396224707,-0.006896552,53,145
580,8,40,2,crow_run_02.png,0.405795813,-0.03472222,69,144
581,8,40,3,crow_run_03.png,0.3164545,-0.01333333,79,150
582,8,40,4,crow_run_04.png,0.102939799,0.02,68,150
583,8,40,5,crow_run_05.png,-0.06666819,0.01388889,60,144
584,8,40,6,crow_run_06.png,0.367087513,-0.006993007,79,143
585,8,40,7,crow_run_07.png,0.468748987,-0.01333333,96,150
586,8,40,8,crow_run_08.png,0.542855918,0.006711409,70,149
587,8,41,0,crow_walk_00.png,0.351850212,0,54,144
588,8,41,1,crow_walk_01.png,0.374998391,0,56,144
589,8,41,2,crow_walk_02.png,0.484373599,-0.0141844,64,141
590,8,41,3,crow_walk_03.png,0.536230624,0.006993007,69,143
591,8,41,4,crow_walk_04.png,0.567162812,0.01398601,67,143
592,8,41,5,crow_walk_05.png,0.491226494,0.01398601,57,143
593,8,41,6,crow_walk_06.png,0.436361998,0.0137931,55,145
594,8,41,7,crow_walk_07.png,0.438354909,0,73,144
595,8,41,8,crow_walk_08.png,0.437498987,-0.006993007,96,143
596,8,41,9,crow_walk_09.png,0.520832419,-0.007042253,96,142
597,8,41,10,crow_walk_10.png,0.552940071,0.006993007,85,143
598,8,41,11,crow_walk_11.png,0.485713005,0.006944444,70,144
599,8,41,12,crow_walk_12.png,0.351850212,0,54,144
